gender,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
1,0.220454454422,0.0,0.0,0.0,0.0,0.570874214172,0.0,0.0,0.0,0.186335027218
0,0.0843456238508,0.709749281406,0.0,0.0,0.0,0.168344646692,0.0,0.0,0.0362776331604,0.0
1,0.244716703892,0.521278917789,0.0,0.102734938264,0.0108734946698,0.0283361580223,0.0,0.0,0.0735957249999,0.0
1,0.0,0.0,0.605512559414,0.0,0.051329895854,0.339147686958,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.615987241268,0.378750652075,0.0,0.0,0.0,0.0
1,0.151625290513,0.0,0.0,0.213825255632,0.0,0.0,0.631297469139,0.0,0.0,0.0
0,0.112619750202,0.618366062641,0.0,0.0,0.0,0.079134143889,0.132081612945,0.0,0.0383562408388,0.0
1,0.758894324303,0.0147086568177,0.0,0.169576063752,0.0,0.0227380823344,0.0,0.0,0.0,0.0
0,0.32459205389,0.0232652146369,0.0,0.563086569309,0.0149499271065,0.0367936380208,0.0,0.0,0.0118387797847,0.0
1,0.334822565317,0.0,0.0,0.0,0.0,0.014986814931,0.0,0.0,0.641631960869,0.0
1,0.0,0.526273190975,0.0,0.0,0.0,0.11121840775,0.323719024658,0.0,0.0257262829691,0.0
0,0.546655356884,0.394119948149,0.0,0.0292614810169,0.0,0.0263249091804,0.0,0.0,0.0,0.0
1,0.0358337946236,0.0812793895602,0.0,0.0,0.650658547878,0.215623289347,0.0,0.0,0.0,0.0157121308148
1,0.0811942815781,0.190011382103,0.030993303284,0.0185143426061,0.0,0.434267938137,0.172742426395,0.0,0.0692809149623,0.0
0,0.740520715714,0.17211407423,0.0,0.0,0.0,0.0,0.0,0.0793334841728,0.0,0.0
1,0.0311986934394,0.0,0.0,0.0,0.818444013596,0.0,0.0,0.0,0.140884265304,0.0
1,0.347037166357,0.0,0.0,0.0,0.072928018868,0.530028760433,0.0,0.0,0.0,0.040533170104
1,0.322352647781,0.0534686297178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.621933281422
0,0.278622359037,0.420763939619,0.0115435132757,0.0,0.0606446973979,0.0317268446088,0.0933234319091,0.0549179501832,0.0,0.0456358939409
1,0.0,0.0,0.0,0.0,0.435597002506,0.553214848042,0.0,0.0,0.0,0.0
0,0.282545566559,0.017032822594,0.0587069354951,0.0,0.015956768766,0.61266118288,0.0,0.0110389469191,0.0,0.0
1,0.753510415554,0.181964159012,0.0,0.020566990599,0.0,0.0290823299438,0.0,0.0124436886981,0.0,0.0
0,0.16884213686,0.170672982931,0.0,0.0,0.0182063318789,0.577461481094,0.0,0.0,0.0611391961575,0.0
1,0.0,0.0118445716798,0.0,0.0,0.716067135334,0.0208940859884,0.0,0.0,0.250641435385,0.0
1,0.0,0.0924208462238,0.0,0.0,0.0,0.87828296423,0.0194412339479,0.0,0.0,0.0
0,0.34139162302,0.052078217268,0.0,0.0145859252661,0.0,0.0998514294624,0.0,0.0,0.0510511435568,0.435115039349
1,0.0,0.0,0.0,0.0,0.0,0.0,0.999661147594,0.0,0.0,0.0
0,0.106570959091,0.0,0.0,0.0526798926294,0.0,0.721256911755,0.0,0.0,0.0,0.109370797873
0,0.0299676805735,0.0337716825306,0.0,0.0,0.0,0.915250122547,0.0,0.0,0.0,0.0119582293555
1,0.477199614048,0.0984725058079,0.0198971666396,0.274556368589,0.0,0.0960852578282,0.0,0.0,0.0,0.0212408304214
0,0.118825577199,0.0,0.0,0.0,0.107297480106,0.77036678791,0.0,0.0,0.0,0.0
1,0.027253029868,0.117244184017,0.0,0.0,0.828970193863,0.0186231844127,0.0,0.0,0.0,0.0
0,0.0,0.995974004269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.19522537291,0.0,0.0,0.0,0.0361398607492,0.125773191452,0.632954537868,0.0,0.0,0.0
0,0.567291140556,0.0,0.0,0.0,0.0,0.316702455282,0.0,0.0,0.105246931314,0.0
1,0.0895958766341,0.517018318176,0.0,0.0130301611498,0.0161054320633,0.323904156685,0.0,0.0,0.012779363431,0.0
0,0.154955178499,0.0,0.525221526623,0.0,0.014087500982,0.294204235077,0.0,0.0,0.0,0.0
0,0.487250357866,0.0,0.0,0.0749565884471,0.0,0.313027977943,0.0,0.0,0.0,0.118244469166
1,0.119477204978,0.243159204721,0.0154934860766,0.224073067307,0.0379804782569,0.280339956284,0.0127268098295,0.013706180267,0.0300833787769,0.0229602269828
0,0.0998165756464,0.0879548192024,0.0,0.0,0.466773062944,0.283755153418,0.0529234595597,0.0,0.0,0.0
1,0.109150521457,0.0,0.0,0.875050902367,0.0,0.0,0.0,0.0,0.0,0.0
1,0.200136393309,0.21103836596,0.0,0.0,0.0,0.584201335907,0.0,0.0,0.0,0.0
0,0.704041600227,0.105264090002,0.0,0.0,0.0,0.182360947132,0.0,0.0,0.0,0.0
0,0.0166523288935,0.0,0.0,0.0,0.314254313707,0.648178100586,0.0,0.0,0.0,0.0
1,0.73790115118,0.209115639329,0.0,0.0,0.0,0.0402165241539,0.0,0.0,0.0,0.0
1,0.553261935711,0.373973160982,0.0,0.0,0.0,0.062292214483,0.0,0.0,0.0,0.0
1,0.0,0.327709376812,0.0,0.0,0.189666330814,0.22234505415,0.0,0.04203639552,0.205294892192,0.0
0,0.263662964106,0.246076017618,0.0,0.0,0.0,0.342552304268,0.0,0.0,0.144705444574,0.0
0,0.647041022778,0.0,0.0,0.282666534185,0.0,0.03490203619,0.0,0.0,0.0,0.0249717179686
0,0.163497790694,0.117871634662,0.0,0.0,0.0205575693399,0.0137057285756,0.0,0.0,0.681550145149,0.0
1,0.0564644113183,0.404906719923,0.0,0.243502929807,0.0269055776298,0.163423195481,0.0,0.0,0.102765791118,0.0
0,0.686126470566,0.171043634415,0.0,0.0,0.0,0.139066785574,0.0,0.0,0.0,0.0
0,0.247494772077,0.0564503148198,0.0337143875659,0.0128589197993,0.128782048821,0.337485462427,0.0,0.0,0.0,0.181712031364
1,0.0,0.0,0.0,0.0,0.167615130544,0.829916536808,0.0,0.0,0.0,0.0
0,0.0682071447372,0.172129526734,0.0,0.0,0.0,0.631327152252,0.0,0.0347397215664,0.0834573507309,0.0
1,0.0566002875566,0.424036800861,0.0,0.0,0.0,0.494575023651,0.0,0.0,0.0,0.0
0,0.864389896393,0.0,0.0,0.0,0.0,0.126984477043,0.0,0.0,0.0,0.0
1,0.0175105053931,0.201298847795,0.0,0.0,0.24810244143,0.085222363472,0.0,0.0,0.441833645105,0.0
0,0.0805682986975,0.66403824091,0.0,0.0,0.0,0.0239051654935,0.0,0.224098041654,0.0,0.0
0,0.0,0.994347274303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.14456269145,0.44591909647,0.0188641510904,0.0633912235498,0.0139476470649,0.0882731825113,0.0,0.223840668797,0.0,0.0
0,0.0,0.981827259064,0.0,0.0,0.0,0.0,0.0,0.0172689706087,0.0,0.0
0,0.76639431715,0.123742997646,0.0,0.0234746355563,0.0315482057631,0.0,0.0,0.0,0.0511516146362,0.0
